URL|Title|Summary|Last Updated
"/docs/"|"Ory"|"Since you haven't provided any content, I'll wait for the documentation to be shared. Please provide the documentation content, and I'll assist you with creating a concise technical summary."|"2025-01-29T12:08:17.485Z"
"/docs/welcome"|"Welcome to Ory! | Ory"|"Ory Network:
- Built on top of Ory Open Source software
- Commercial offering with revenue generation for high quality development
- Planet-scale, low-latency, resilient, and secure service
- Isolated tenants and components providing functionality around identities, sessions, login, OAuth2, permissions
- Uses cloud-native open-source technologies (Kubernetes, Crossplane, Cockroach, Linux, Ory)
- Standards used: OAuth 2.0/2.1, OpenID Connect, MITREid, WebAuthn, TOTP, FIDO3

Ory Open Source:
- 170+ open source repositories and over 35,000 GitHub stars
- Secures billions of requests each month
- Runs in over 50,000 live deployments
- Improves hourly
- Uses cloud-native open-source technologies (Kubernetes, Crossplane, Cockroach, Linux, Ory)
- Standards used: OAuth 2.0/2.1, OpenID Connect, MITREid, WebAuthn, TOTP, FIDO3

Ory Console:
- Management UI of Ory Network
- Implements screens such as login, registration, account recovery, account setting, and account verification

Ory Account Experience:
- Implements screens such as login, registration, account recovery, account setting, and account verification

Ory Actions:
- Flexible way to extend the capabilities of the Ory Network
- Defines custom business logic, automates system behavior in response to events, and integrates with third-party services"|"2025-01-29T12:08:21.417Z"
"/docs/getting-started/overview"|"Quickstarts & Tutorials | Ory"|"Here is a concise summary of the documentation content, focusing on technical points and implementation details:

Protecting pages with login using various frameworks:
- React uses React Context API and middleware for authentication
- Next.js/React uses getServerSideProps and useSession from NextAuth.js
- React Native uses Firebase Authentication and Redux-Saga for authentication
- Express.js uses Passport.js and JWT tokens for authentication
- Go uses Gin framework with JWT tokens for authentication
- PHP uses Symfony Security component with JWT tokens for authentication
- Vue.js uses Vuex and Vue Router with JWT tokens for authentication
- Flutter uses Firebase Authentication and Provider for authentication
- Django uses Django auth and JWT tokens for authentication
- Flask uses Flask-Security extension with JWT tokens for authentication
- .NET Core uses ASP.NET Core Identity with JWT tokens for authentication
- ASP.NET Core uses ASP.NET Core Identity with JWT tokens for authentication
- Custom UI examples:
  - Node.js uses Ory Hydra Client-side SDK and Redux for state management
  - Next.js/React uses Ory Hydra Client-side SDK and React Context API
  - React Native uses Ory Hydra Client-side SDK and Provider
  - Flutter Web uses Ory Hydra Client-side SDK and Provider
  - Quarkus uses Ory Hydra Client-side SDK with Java annotations
- Community examples:
  - Vue.js uses Ory Hydra Client-side SDK and Vuex
  - Next.js uses Ory Hydra Client-side SDK and React Context API
  - Erlang uses Ory Hydra Client-side SDK with Elixir macros
  - Rescript uses Ory Hydra Client-side SDK with Rescript type system
  - Svelte uses Ory Hydra Client-side SDK with Svelte components"|"2025-01-29T12:08:24.869Z"
"/docs/guides/authentication"|"Authentication & Login | Ory"|"Here is a concise summary of the documentation content:

Identifier (username, email, phone number) + password authentication combination
WebAuthn specification written by W3C
One-time code sent via email and SMS for authentication
Organizations available only in Ory Network
B2B SSO and SAML not supported in self-hosted Kratos
OpenID Connect SSO enabled
Multi-factor authentication implemented
Customized auth flows possible"|"2025-01-29T12:08:25.938Z"
"/docs/reference/api"|"Ory"|"I'm ready to help. However, I don't see any documentation content provided. Please paste the documentation content you'd like me to summarize, and I'll provide a concise technical summary without introductions or conclusions."|"2025-01-29T12:08:26.714Z"
"/docs/ecosystem/projects"|"Introduction | Ory"|"Here is a concise summary of the technical points and implementation details:

Ory Kratos: 
- Implements user management, login, registration, mfa/2fa, profile, session management, and account recovery
- Applies NIST, IETF, Microsoft Research, Google Research security standards
- Has a 5MB Docker Image with almost no configuration required

Ory Hydra:
- Enables OAuth 2.0 and OpenID Connect provider functionality
- Issues secure access, refresh, and ID tokens in OpenID Certified manner
- Has a 5MB Docker Image with minimal configuration required

Ory Oathkeeper:
- Deployed as a firewall to authenticate users and check permissions
- Defines access rules for API endpoints using OAuth 2.0 Access Tokens, JSON Web Tokens, etc.

Ory Keto:
- Authenticates different types of credentials (OAuth 2.0 Access Tokens, SAML Assertions, etc.)
- Allows defining advanced permission rules (""Access Control Policies"")
- Has an endpoint to check if a set of credentials is allowed to modify a resource"|"2025-01-29T12:08:30.247Z"
"/docs/guides/permissions/overview"|"Get started with Permissions in the Ory Network | Ory"|"Ory Permissions uses Google Zanzibar for relations between subjects and objects
Relations encode subject-object relationships, where the subject ID references the object ID
Permissions are another form of relations, used to check if a subject has access to an object through indirections
Example:
- user1 is in members of groups:group1, so they have access to files:file1 (all members of group:group1 are readers)
- user2 is not in group1, so they do not have access to file1

Ory Permission Language (OPL) for configuring namespaces and relationship rules
Example setup: file store with folder hierarchy, accessible by individual users or groups of users
Using OPL, specify that a user has access to a folder means they also have access to all files in that folder

Fastest way to get started with Ory Permissions using Ory Console
Switch to Permission Rules tab in Ory Console and use autocompletion for OPL
Connect to Ory Network using Ory CLI:
- Sign in to account
- List workspaces and projects
- Use project ID to create permission rules
Create relationships in Ory Network project using Ory CLI
Save relationships as JSON file (e.g. relationships.json)
Run queries illustrating use cases:
- Patrik can view keto/src/main.go due to group membership
- Patrik cannot view private file due to lack of access
- Henning has edit and view access to private file due to ownership"|"2025-01-29T12:08:33.636Z"
"/docs/guides/oauth2-oidc"|"OAuth2 and OpenID Connect | Ory"|"Node.js/Express.js implementation of OAuth2 and OpenID Connect, includes authentication flow for authorization server, token endpoint, and client registration. 

  Client registration process includes generating a client ID and secret key. 
  Authorize request includes redirecting user to authorization server with redirect URI and scope parameters.
  Token request includes exchanging authorization code for access token using client credentials or refresh token.
  Token endpoint returns the access token response which contains an id_token that can be used for OpenID Connect.
  
  Includes examples of setting up OAuth2 middleware with Express.js, handling authentication flow, and testing with Node.js."|"2025-01-29T12:08:35.035Z"
"/docs/quickstart/sdks"|"SDK quickstarts | Ory"|"Here is a concise summary of the documentation content:

OAuth2 Permission Scopes are a set of specific permissions that define the resources an application can access on behalf of the user.

There are two types of OAuth2 permission scopes: Resource Owner Password Credentials and Authorization Code. 

The client id and secret are used to authenticate with the authorization server and obtain an access token.

Grant type is one of the available authorization grant types in OAuth 2.0, including authorization code, implicit, client credentials, and resource owner password credentials.

There are different flows for each grant type including implicit flow, authorization code flow and client credentials flow."|"2025-01-29T12:08:36.443Z"
"/docs/category/guides/"|"Guides | Ory"|"Here is a concise summary of the key technical points and implementation details:

Webhooks support HTTP callbacks triggered by specific events in the application.
Identities implemented as JSON Schema Standard for customization.
Session management involves token-based authentication upon user login.
Token introspection allows resource servers to obtain access token information.
OAuth2 clients authenticate with authorization server to access HTTP services.
Identity schema defines data structure for human identities, such as online store customers."|"2025-01-29T12:08:37.558Z"
"/docs/guides/integrate-with-ory-cloud-through-webhooks"|"Trigger custom logic and integrate with external systems with webhooks | Ory"|"I'm ready to help. However, I don't see any documentation content provided. Please paste the documentation content you'd like me to summarize, and I'll create a concise technical summary without introductions or conclusions."|"2025-01-29T12:08:38.190Z"
"/docs/kratos/manage-identities/overview"|"What is an identity in Ory? | Ory"|"Identities are sets of data describing humans signing up on a website or application. Identities are created based on schemas defining fields (data) stored for each identity. Schemas allow differentiation between user types, such as customers and employees. Identity creation uses YAML format and can be managed via /admin/identities endpoint with API payload in JSON format."|"2025-01-29T12:08:39.139Z"
"/docs/kratos/manage-identities/identity-schema"|"Identity schema - the model that defines the data that makes up user accounts | Ory"|"Here is a concise summary of the documentation content, focusing on technical points and implementation details:

Ory Network Identity Schema 
JSON Schema Standard 
Defines data types for users (names, email addresses, phone numbers, birthdays) 
Allows adding additional fields to user profiles (job titles, company names, locales) 
Controls business logic 
Can define different identity schemas for different groups of users 
Default presets available (3): 
1. Single trait - email 
   - Email is login identifier 
   - No priority on anonymity 
   - No email field, cannot send recovery links 
2. Single trait - username 
   - Username is login identifier 
   - Includes email field, first name, last name, and newsletter checkbox"|"2025-01-29T12:08:40.822Z"
"/docs/guides/email-sms"|"Email and SMS | Ory"|"Here is a concise summary of the key technical points and implementation details:

SMTP Email Sending Configuration: 
  - Configured out of the box for Ory Network
  - Emails sent from a predefined address

SMS Delivery Configuration:
  - HTTP based delivery option
  - Can be configured to point to any SMS service that supports sending SMS"|"2025-01-29T12:08:41.900Z"
"/docs/kratos/session-management/overview"|"Overview of sessions, Ory Session Cookies, and Ory Session Tokens | Ory"|"Here is the summary:

Ory Session Cookie: Issued for browser-based authentication. Browser-based applications use session cookies instead of session tokens.

Ory Session Token: Issued for client-side authentication other than browser. Native applications use session tokens instead of session cookies.

Default Sessions are not JWTs due to session caching mechanism across the globe. To convert sessions to JWTs, consider using Ory Oathkeeper as an API Gateway."|"2025-01-29T12:08:43.171Z"
"/docs/getting-started/custom-ui"|"Custom UI | Ory"|"Customize self-service UI: Next.js/React
* Use the official React template as a starting point
* Utilize the Ory Identities client library to integrate with Ory services
* Customize CSS and layout using standard React components"|"2025-01-29T12:08:44.069Z"
"/docs/hydra/guides/oauth2-token-introspection"|"OAuth 2.0 token introspection | Ory"|"Resource servers obtain info about access tokens through token introspection, checking validity and discovering associated users/scopes. Token introspection mechanism allows resource servers to verify token information."|"2025-01-29T12:08:44.678Z"
